time,GX,GY,GZ
1564010100000,-1.5999999999999999,-0.026666666666666672,-1.27
1564010160000,-1.3849999999999998,-0.009999999999999995,-1.385
1564010220000,-1.4633333333333334,0.18666666666666668,-1.0933333333333333
1564010280000,-1.4761224489795919,0.0025510204081632647,-1.1483673469387754
1564010340000,-1.4766666666666668,0.010000000000000002,-0.9233333333333333
1564010400000,-1.22,0.07,-1.06
1564010460000,-1.42,0.18,-1.33
1564010520000,-1.425,0.075,-1.275
1564010580000,-1.47,0.11,-1.39
1564010640000,-1.32,-0.006666666666666668,-1.1166666666666667
1564010700000,-1.45,-0.025,-1.29
1564010760000,-1.32,0.3075,-1.2525
1564010820000,-1.5,0.15,-1.55
1564010880000,-1.2666666666666666,0.06,-1.1966666666666665
1564010940000,-1.21,0.13,-1.26
1564011000000,-1.324,0.0828,-1.2608
1564011060000,-1.31,-0.003333333333333327,-1.3066666666666666
1564011120000,-1.41,0.07,-1.24
1564011180000,-1.29,0.016666666666666663,-1.2366666666666666
1564011240000,-1.26,0.045,-1.335
1564011300000,-1.4161904761904762,-0.0050000000000000044,-1.572857142857143
1564011360000,-1.3866666666666667,0.043333333333333335,-1.2533333333333334
1564011420000,-1.46,0.13,-1.19
1564011480000,-1.2349999999999999,-0.015000000000000013,-1.425
1564011540000,-1.25,0.06,-1.28
1564011600000,-1.2,0.10666666666666669,-1.23
1564011660000,-1.4066666666666665,0.13666666666666666,-1.1066666666666667
1564011720000,-1.555,-0.08666666666666667,-1.2666666666666666
1564011780000,-1.54,0.13,-1.33
1564011840000,-1.39,0.02,-1.2433333333333334
1564011900000,-1.06,0.05,-1.15
1564011960000,-1.42,0.060000000000000005,-1.1440000000000001
1564012020000,-1.2966666666666666,0.06000000000000001,-1.0799999999999998
1564012080000,-1.59,0.08,-1.38
1564012140000,-1.5,0.04666666666666666,-1.2066666666666668
1564012200000,-1.21,0.17,-1.22
1564012260000,-1.3266666666666667,0.09,-1.325
1564012320000,-1.54,0.01,-1.28
1564012380000,-1.2766666666666666,0.09333333333333332,-1.0666666666666667
1564012440000,-1.125,-0.015,-1.23
1564012500000,-1.1066666666666667,0.10500000000000001,-1.4
1564012560000,-1.325,0.135,-1.15
1564012620000,-1.3933333333333333,-0.010000000000000005,-1.3666666666666667
1564012680000,-1.3523076923076924,-0.05692307692307693,-1.168
1564012740000,-1.4753846153846153,0.07384615384615387,-1.303
1564012800000,-1.24,-0.03,-0.92
1564012860000,-1.309,0.01344444444444444,-1.222777777777778
1564012920000,-1.33,-0.1,-1.43
1564012980000,-1.3333333333333335,0.155,-1.2650000000000001
1564013040000,-1.4209999999999998,-0.032,-1.26
1564013100000,-1.37,0.21,-1.38
1564013160000,-1.17,0.09,-1.29
1564013220000,-1.23,-0.08,-1.38
1564013280000,-1.42,-0.04,-1.23
1564013340000,-1.59,0.07,-1.27
1564013400000,-1.34,0.15,-1.16
1564013460000,-1.2,-0.07,-1.35
1564013520000,-1.13,0.27,-1.1433333333333333
1564013580000,-1.37,-0.11,-1.05
1564013640000,-1.3933333333333333,0.023333333333333338,-1.355
1564013700000,-1.37,0.13,-1.53
1564013760000,-1.11,0.16,-1.17
1564013820000,-1.44,0.03333333333333334,-1.2666666666666666
1564013880000,-1.5466666666666666,0.21,-1.12
1564013940000,-1.58,0.28,-1.11
1564014000000,-1.3766666666666667,0.12666666666666665,-1.2033333333333334
1564014060000,-1.25,0.225,-1.2200000000000002
1564014120000,-1.4529032258064516,0.11296875,-1.13625
1564014180000,-1.4260000000000002,0.025999999999999995,-1.32
1564014240000,-1.3533333333333333,0.16333333333333333,-1.3099999999999998
